"dimension" "Birth" "Death"
"1" 0 0 Inf
"2" 0 0 371.994812999999
"3" 0 0 242.308777000001
"4" 0 0 402.091735249999
"5" 0 0 429.053199999999
"6" 0 0 217.36469
"7" 0 0 389.581005250002
"8" 0 0 409.497296000002
"9" 0 0 293.790206499998
"10" 0 0 303.491092500001
"11" 0 0 311.504224999999
"12" 0 0 288.921892250001
"13" 0 0 396.674061249999
"14" 0 0 346.901236999999
"15" 0 0 292.231191250003
"16" 0 0 338.934192499998
"17" 0 0 384.827588999997
"18" 0 0 340.587562250002
"19" 0 0 176.91613825
"20" 0 0 334.931914
"21" 0 0 336.5025725
"22" 0 0 312.181762
"23" 0 0 325.860984249999
"24" 0 0 423.4012445
"25" 0 0 373.631247249999
"26" 0 0 236.36077
"27" 0 0 275.753410250001
"28" 0 0 390.184686249999
"29" 0 0 324.068592250001
"30" 0 0 161.30147125
"31" 0 0 297.834164000003
"32" 0 0 291.48418
"33" 0 0 394.948336249999
"34" 0 0 271.468521249999
"35" 0 0 238.0414045
"36" 0 0 202.461626250001
"37" 0 0 395.598516999999
"38" 0 0 136.07113225
"39" 0 0 269.856794499999
"40" 0 0 461.952999999997
"41" 0 0 378.668396250001
"42" 0 0 268.499891250001
"43" 0 0 318.24473125
"44" 0 0 441.01885
"45" 0 0 384.939680499998
"46" 0 0 340.57558825
"47" 0 0 165.300491250001
"48" 0 0 426.362861250003
"49" 0 0 242.633045250001
"50" 0 0 238.923349249999
"51" 0 0 375.389041250002
"52" 0 0 266.233944499998
"53" 0 0 384.157743250002
"54" 0 0 181.080313
"55" 0 0 347.638650499998
"56" 0 0 177.710151249999
"57" 0 0 224.843427999999
"58" 0 0 221.028802250002
"59" 0 0 207.74236825
"60" 0 0 214.375972500003
"61" 0 0 135.6798805
"62" 0 0 412.008997
"63" 0 0 471.190952250004
"64" 0 0 302.392267249998
"65" 0 0 309.579390249999
"66" 0 0 289.709729
"67" 0 0 188.733420249999
"68" 0 0 402.159865999999
"69" 0 0 473.597751250001
"70" 0 0 162.532914249999
"71" 0 0 230.851354
"72" 0 0 216.577626499999
"73" 0 0 377.071685000002
"74" 0 0 408.17265625
"75" 0 0 248.901703250001
"76" 0 0 372.288169249998
"77" 0 0 257.854254500001
"78" 0 0 201.046644499999
"79" 0 0 357.688242500004
"80" 0 0 384.16444625
"81" 0 0 111.437665
"82" 0 0 233.185324999998
"83" 0 0 363.879682
"84" 0 0 459.586419999997
"85" 0 0 348.627061
"86" 0 0 386.850790250001
"87" 0 0 321.786729999999
"88" 0 0 345.952804000004
"89" 0 0 290.02352625
"90" 0 0 276.895460250003
"91" 0 0 295.002625
"92" 0 0 357.608320999998
"93" 0 0 257.107857250001
"94" 0 0 433.171018249998
"95" 0 0 206.310456250001
"96" 0 0 231.978351250001
"97" 0 0 268.263090499999
"98" 0 0 435.526446500002
"99" 0 0 264.649505000001
"100" 0 0 202.56645125
"101" 0 0 294.171790250001
"102" 0 0 155.616426499999
"103" 0 0 229.8428425
"104" 0 0 248.584198250001
"105" 0 0 465.144660499998
"106" 0 0 270.610066250001
"107" 0 0 366.490364499998
"108" 0 0 230.1812185
"109" 0 0 238.75485625
"110" 0 0 312.53122225
"111" 0 0 382.046045
"112" 0 0 510.658256000001
"113" 0 0 309.505737250001
"114" 0 0 297.707692500001
"115" 0 0 515.07994625
"116" 0 0 321.315509000002
"117" 0 0 206.392784
"118" 0 0 190.654661250002
"119" 0 0 200.083226499998
"120" 0 0 145.240244999999
"121" 0 0 233.323049
"122" 0 0 317.123055250001
"123" 0 0 332.892178
"124" 0 0 161.3396725
"125" 0 0 270.890696499998
"126" 0 0 167.87589425
"127" 0 0 234.440921250001
"128" 0 0 352.985922249999
"129" 0 0 341.734056249999
"130" 0 0 351.475896500001
"131" 0 0 301.474385
"132" 0 0 343.645420500003
"133" 0 0 338.468130499998
"134" 0 0 319.7299885
"135" 0 0 199.247017
"136" 0 0 181.59164825
"137" 0 0 271.039017249999
"138" 0 0 193.649151999999
"139" 0 0 211.438367999999
"140" 0 0 342.947477
"141" 0 0 404.943438249999
"142" 0 0 255.20148625
"143" 0 0 422.440572500001
"144" 0 0 192.782456499997
"145" 0 0 181.6366445
"146" 0 0 561.290640500002
"147" 0 0 358.28428525
"148" 0 0 260.167669000001
"149" 0 0 158.347177
"150" 0 0 268.73202025
"151" 0 0 334.452697250003
"152" 0 0 418.967118249995
"153" 0 0 400.852201250002
"154" 0 0 336.918964
"155" 0 0 317.265488499998
"156" 0 0 142.74818225
"157" 0 0 377.196867249996
"158" 0 0 268.838525
"159" 0 0 142.467082000002
"160" 0 0 405.999901249998
"161" 0 0 198.272906
"162" 0 0 254.049644500001
"163" 0 0 298.81112725
"164" 0 0 288.766746000001
"165" 0 0 318.042676249999
"166" 0 0 179.7663425
"167" 0 0 430.541209249997
"168" 0 0 293.0469625
"169" 0 0 396.140981000002
"170" 0 0 364.648682500002
"171" 0 0 158.906899999999
"172" 0 0 372.397298500002
"173" 0 0 376.88102125
"174" 0 0 380.93813225
"175" 0 0 286.991751249999
"176" 0 0 230.593696999999
"177" 0 0 220.371581
"178" 0 0 330.547857250001
"179" 0 0 343.120807250001
"180" 0 0 274.986125
"181" 0 0 413.062531249998
"182" 0 0 290.062406249999
"183" 0 0 144.220712
"184" 0 0 152.148649
"185" 0 0 176.29535725
"186" 0 0 297.212753
"187" 0 0 255.14193625
"188" 0 0 178.064185
"189" 0 0 337.592908250004
"190" 0 0 241.993699999998
"191" 0 0 361.094861249998
"192" 0 0 280.81550925
"193" 0 0 286.513214500001
"194" 0 0 219.559846250001
"195" 0 0 299.73604
"196" 0 0 300.926866499998
"197" 0 0 563.042161000002
"198" 0 0 533.945341250002
"199" 0 0 350.132058249999
"200" 0 0 238.213513
"201" 0 0 217.88601125
"202" 0 0 197.949699999999
"203" 0 0 512.084614499997
"204" 0 0 321.378124249997
"205" 0 0 221.844704500001
"206" 0 0 228.82406625
"207" 0 0 234.592100499999
"208" 0 0 131.475298
"209" 0 0 245.648311250001
"210" 0 0 347.029311250001
"211" 0 0 128.00803825
"212" 0 0 311.355099249999
"213" 0 0 124.981345
"214" 0 0 404.250013249999
"215" 0 0 376.0545025
"216" 0 0 291.00714625
"217" 0 0 336.901006249999
"218" 0 0 276.34131725
"219" 0 0 353.77505325
"220" 0 0 244.035988999999
"221" 0 0 236.740846249999
"222" 0 0 309.353431249999
"223" 0 0 412.523766500001
"224" 0 0 209.534821000001
"225" 0 0 304.632085
"226" 0 0 334.213704500002
"227" 0 0 197.1665525
"228" 0 0 159.44946725
"229" 0 0 438.823996249997
"230" 0 0 336.380123249999
"231" 0 0 256.900007250001
"232" 0 0 224.97582025
"233" 0 0 141.49599425
"234" 0 0 105.083989
"235" 0 0 232.063776249999
"236" 0 0 310.010582499999
"237" 0 0 235.732212500001
"238" 0 0 334.6012645
"239" 0 0 334.08853325
