"dimension" "Birth" "Death"
"1" 0 0 Inf
"2" 0 0 336.75650325
"3" 0 0 230.139783249998
"4" 0 0 365.9869625
"5" 0 0 322.848584000001
"6" 0 0 361.739580249999
"7" 0 0 200.884771249999
"8" 0 0 247.856088999999
"9" 0 0 328.20889825
"10" 0 0 288.853265
"11" 0 0 174.846924500002
"12" 0 0 339.564724999999
"13" 0 0 303.481402249999
"14" 0 0 307.293636249999
"15" 0 0 277.220937999999
"16" 0 0 514.581800500003
"17" 0 0 199.1269625
"18" 0 0 188.077606250001
"19" 0 0 104.41637525
"20" 0 0 298.60357025
"21" 0 0 321.543982249998
"22" 0 0 93.4867985000005
"23" 0 0 298.595706249999
"24" 0 0 243.64001825
"25" 0 0 246.168208999999
"26" 0 0 104.390117
"27" 0 0 76.6838412499999
"28" 0 0 68.6809344999997
"29" 0 0 259.748065000001
"30" 0 0 326.550099999999
"31" 0 0 329.753905
"32" 0 0 86.0028462500002
"33" 0 0 275.816488250002
"34" 0 0 328.687029249999
"35" 0 0 53.0256904999996
"36" 0 0 230.68407025
"37" 0 0 199.683971999999
"38" 0 0 261.072606249997
"39" 0 0 74.0447045000008
"40" 0 0 334.944672499998
"41" 0 0 278.19654125
"42" 0 0 382.707523250001
"43" 0 0 171.600568250002
"44" 0 0 273.321425
"45" 0 0 121.527108250002
"46" 0 0 258.373177999999
"47" 0 0 182.047180249999
"48" 0 0 225.756918500001
"49" 0 0 303.8927705
"50" 0 0 206.654101
"51" 0 0 96.9278125000006
"52" 0 0 271.002469249999
"53" 0 0 239.68282
"54" 0 0 147.0235225
"55" 0 0 283.330625
"56" 0 0 219.28240325
"57" 0 0 321.781583250001
"58" 0 0 301.868530249998
"59" 0 0 261.335925
"60" 0 0 243.83319025
"61" 0 0 50.9426824999994
"62" 0 0 459.43719325
"63" 0 0 222.552561249999
"64" 0 0 234.497908250001
"65" 0 0 218.0427125
"66" 0 0 107.3370845
"67" 0 0 400.467521250004
"68" 0 0 314.734028500001
"69" 0 0 352.322990500001
"70" 0 0 116.685834250001
"71" 0 0 93.0500472500005
"72" 0 0 385.258214500002
"73" 0 0 106.8940025
"74" 0 0 336.615139250002
"75" 0 0 566.740061
"76" 0 0 283.008800499999
"77" 0 0 490.903634000001
"78" 0 0 174.363070249999
"79" 0 0 254.998556500001
"80" 0 0 137.847112250002
"81" 0 0 335.718205000001
"82" 0 0 428.880960499999
"83" 0 0 171.483036499999
"84" 0 0 274.398196250001
"85" 0 0 59.9103182499997
"86" 0 0 428.904073999999
"87" 0 0 347.717020250003
"88" 0 0 227.202012499999
"89" 0 0 94.3473362500006
"90" 0 0 474.217860500001
"91" 0 0 106.089598250001
"92" 0 0 173.29728125
"93" 0 0 185.154344000001
"94" 0 0 208.768168999999
"95" 0 0 150.88368125
"96" 0 0 195.280564999998
"97" 0 0 274.030117000001
"98" 0 0 298.3884805
"99" 0 0 299.975404999998
"100" 0 0 196.35283125
"101" 0 0 290.798599999998
"102" 0 0 265.977350500001
"103" 0 0 380.273714499999
"104" 0 0 290.330113999999
"105" 0 0 352.400623250001
"106" 0 0 152.794256499999
"107" 0 0 198.830125250001
"108" 0 0 400.543782499999
"109" 0 0 582.772804999999
"110" 0 0 127.260192999999
"111" 0 0 622.33911625
"112" 0 0 249.141230499999
"113" 0 0 291.552902500002
"114" 0 0 375.211712499996
"115" 0 0 415.75639725
"116" 0 0 236.335079250001
"117" 0 0 422.038476249999
"118" 0 0 191.457344499998
"119" 0 0 497.31652525
"120" 0 0 393.41716625
"121" 0 0 537.597942249999
"122" 0 0 237.71353825
"123" 0 0 312.737856499999
"124" 0 0 169.76000525
"125" 0 0 219.137897250004
"126" 1 103.726641250001 126.261965352272
"127" 1 132.357892499999 136.220921505251
"128" 1 161.857455250001 167.428781599508
"129" 1 171.1036685 177.531361122797
